rShldrBendx,rShldrBendy,rShldrBendz,rForearmBendx,rForearmBendy,rForearmBendz,rHandx,rHandy,rHandz,rThumb2x,rThumb2y,rThumb2z,rMid1x,rMid1y,rMid1z,lShldrBendx,lShldrBendy,lShldrBendz,lForearmBendx,lForearmBendy,lForearmBendz,lHandx,lHandy,lHandz,lThumb2x,lThumb2y,lThumb2z,lMid1x,lMid1y,lMid1z,lEarx,lEary,lEarz,lEyex,lEyey,lEyez,rEarx,rEary,rEarz,rEyex,rEyey,rEyez,Nosex,Nosey,Nosez,rThighBendx,rThighBendy,rThighBendz,rShinx,rShiny,rShinz,rFootx,rFooty,rFootz,rToex,rToey,rToez,lThighBendx,lThighBendy,lThighBendz,lShinx,lShiny,lShinz,lFootx,lFooty,lFootz,lToex,lToey,lToez,abdomenUpperx,abdomenUppery,abdomenUpperz,hipx,hipy,hipz,headx,heady,headz,neckx,necky,neckz,spinex,spiney,spinez,score,pose
-3.461662,-3.461662,-3.461662,-10.83194,-10.83194,-10.83194,-7.944979,-7.944979,-7.944979,-1.766725,-1.766725,-1.766725,-6.512106,-6.512106,-6.512106,37.98242,37.98242,37.98242,47.31201,47.31201,47.31201,47.86604,47.86604,47.86604,45.69037,45.69037,45.69037,49.49863,49.49863,49.49863,26.93414,26.93414,26.93414,23.33933,23.33933,23.33933,10.69742,10.69742,10.69742,15.67035,15.67035,15.67035,19.84139,19.84139,19.84139,1.94735,1.94735,1.94735,-3.325391,-3.325391,-3.325391,-6.960787,-6.960787,-6.960787,-12.26621,-12.26621,-12.26621,28.15875,28.15875,28.15875,33.5245,33.5245,33.5245,38.11063,38.11063,38.11063,36.8832,36.8832,36.8832,16.59507,16.59507,16.59507,15.82406,15.82406,15.82406,18.89188,18.89188,18.89188,17.26038,17.26038,17.26038,16.59507,16.59507,16.59507,0.7713281,stand
-4.031242,-4.031242,-4.031242,-10.96225,-10.96225,-10.96225,-8.069532,-8.069532,-8.069532,-1.99622,-1.99622,-1.99622,-6.613751,-6.613751,-6.613751,37.96676,37.96676,37.96676,47.39852,47.39852,47.39852,47.52164,47.52164,47.52164,45.74593,45.74593,45.74593,49.11963,49.11963,49.11963,26.73195,26.73195,26.73195,23.33913,23.33913,23.33913,10.47204,10.47204,10.47204,15.60888,15.60888,15.60888,19.90715,19.90715,19.90715,1.736653,1.736653,1.736653,-3.679794,-3.679794,-3.679794,-6.999528,-6.999528,-6.999528,-12.43199,-12.43199,-12.43199,27.78229,27.78229,27.78229,33.32081,33.32081,33.32081,38.04662,38.04662,38.04662,36.7271,36.7271,36.7271,16.43058,16.43058,16.43058,15.59503,15.59503,15.59503,18.68003,18.68003,18.68003,16.96776,16.96776,16.96776,16.43058,16.43058,16.43058,0.7620761,stand
-5.528811,-5.528811,-5.528811,-11.68024,-11.68024,-11.68024,-8.546809,-8.546809,-8.546809,-3.096532,-3.096532,-3.096532,-7.058342,-7.058342,-7.058342,37.34894,37.34894,37.34894,46.30156,46.30156,46.30156,46.98729,46.98729,46.98729,44.05218,44.05218,44.05218,48.90623,48.90623,48.90623,25.6336,25.6336,25.6336,22.48527,22.48527,22.48527,9.311452,9.311452,9.311452,14.56748,14.56748,14.56748,19.24756,19.24756,19.24756,1.195836,1.195836,1.195836,-4.421259,-4.421259,-4.421259,-7.236837,-7.236837,-7.236837,-12.00789,-12.00789,-12.00789,26.79718,26.79718,26.79718,32.7748,32.7748,32.7748,38.3712,38.3712,38.3712,36.85091,36.85091,36.85091,15.45914,15.45914,15.45914,14.72783,14.72783,14.72783,17.56796,17.56796,17.56796,15.91006,15.91006,15.91006,15.45914,15.45914,15.45914,0.7655668,stand
-6.388994,-6.388994,-6.388994,-12.00866,-12.00866,-12.00866,-8.750742,-8.750742,-8.750742,-3.684197,-3.684197,-3.684197,-7.315722,-7.315722,-7.315722,37.09852,37.09852,37.09852,45.52464,45.52464,45.52464,46.61581,46.61581,46.61581,43.18706,43.18706,43.18706,48.78736,48.78736,48.78736,25.00501,25.00501,25.00501,21.92557,21.92557,21.92557,8.614952,8.614952,8.614952,13.83131,13.83131,13.83131,18.82628,18.82628,18.82628,0.7598277,0.7598277,0.7598277,-4.921849,-4.921849,-4.921849,-7.365252,-7.365252,-7.365252,-11.71008,-11.71008,-11.71008,26.21946,26.21946,26.21946,32.41467,32.41467,32.41467,38.53221,38.53221,38.53221,36.88717,36.88717,36.88717,14.87588,14.87588,14.87588,14.18276,14.18276,14.18276,16.89948,16.89948,16.89948,15.35476,15.35476,15.35476,14.87588,14.87588,14.87588,0.7623416,stand
-6.968214,-6.968214,-6.968214,-12.36002,-12.36002,-12.36002,-9.132784,-9.132784,-9.132784,-4.324142,-4.324142,-4.324142,-7.72298,-7.72298,-7.72298,36.88496,36.88496,36.88496,44.72891,44.72891,44.72891,45.83193,45.83193,45.83193,42.27065,42.27065,42.27065,48.10766,48.10766,48.10766,24.69624,24.69624,24.69624,21.46498,21.46498,21.46498,8.108569,8.108569,8.108569,13.30303,13.30303,13.30303,18.44927,18.44927,18.44927,-0.06875914,-0.06875914,-0.06875914,-5.603972,-5.603972,-5.603972,-7.560179,-7.560179,-7.560179,-11.41021,-11.41021,-11.41021,25.52124,25.52124,25.52124,32.08898,32.08898,32.08898,38.59119,38.59119,38.59119,36.9828,36.9828,36.9828,14.1923,14.1923,14.1923,13.45927,13.45927,13.45927,16.49052,16.49052,16.49052,14.95837,14.95837,14.95837,14.1923,14.1923,14.1923,0.761268,stand
-7.319322,-7.319322,-7.319322,-12.38973,-12.38973,-12.38973,-9.311171,-9.311171,-9.311171,-4.235772,-4.235772,-4.235772,-8.4182,-8.4182,-8.4182,36.59784,36.59784,36.59784,43.36503,43.36503,43.36503,44.91996,44.91996,44.91996,41.61595,41.61595,41.61595,47.30062,47.30062,47.30062,24.28236,24.28236,24.28236,21.04215,21.04215,21.04215,7.574054,7.574054,7.574054,13.0516,13.0516,13.0516,18.18391,18.18391,18.18391,-0.5286661,-0.5286661,-0.5286661,-5.850825,-5.850825,-5.850825,-7.692838,-7.692838,-7.692838,-10.95835,-10.95835,-10.95835,25.05375,25.05375,25.05375,31.9677,31.9677,31.9677,38.56864,38.56864,38.56864,37.23458,37.23458,37.23458,13.49865,13.49865,13.49865,12.8806,12.8806,12.8806,16.00748,16.00748,16.00748,14.63926,14.63926,14.63926,13.49865,13.49865,13.49865,0.7791813,stand
-7.513825,-7.513825,-7.513825,-12.40023,-12.40023,-12.40023,-9.398798,-9.398798,-9.398798,-4.185707,-4.185707,-4.185707,-8.75658,-8.75658,-8.75658,36.46657,36.46657,36.46657,42.63518,42.63518,42.63518,44.41938,44.41938,44.41938,41.21154,41.21154,41.21154,46.86068,46.86068,46.86068,24.08356,24.08356,24.08356,20.84174,20.84174,20.84174,7.303152,7.303152,7.303152,12.95899,12.95899,12.95899,17.87197,17.87197,17.87197,-0.830977,-0.830977,-0.830977,-5.99789,-5.99789,-5.99789,-7.753622,-7.753622,-7.753622,-10.68546,-10.68546,-10.68546,24.78181,24.78181,24.78181,31.86169,31.86169,31.86169,38.52556,38.52556,38.52556,37.33709,37.33709,37.33709,13.09603,13.09603,13.09603,12.53572,12.53572,12.53572,15.77031,15.77031,15.77031,14.47637,14.47637,14.47637,13.09603,13.09603,13.09603,0.7801116,stand
-7.929356,-7.929356,-7.929356,-12.78707,-12.78707,-12.78707,-9.740746,-9.740746,-9.740746,-4.619967,-4.619967,-4.619967,-9.476268,-9.476268,-9.476268,35.47134,35.47134,35.47134,41.58851,41.58851,41.58851,43.88604,43.88604,43.88604,40.70336,40.70336,40.70336,46.26353,46.26353,46.26353,23.56837,23.56837,23.56837,20.58068,20.58068,20.58068,6.943214,6.943214,6.943214,12.74813,12.74813,12.74813,17.71606,17.71606,17.71606,-0.5707698,-0.5707698,-0.5707698,-6.2569,-6.2569,-6.2569,-8.076471,-8.076471,-8.076471,-11.11074,-11.11074,-11.11074,24.60727,24.60727,24.60727,31.69881,31.69881,31.69881,38.62038,38.62038,38.62038,37.76004,37.76004,37.76004,12.78417,12.78417,12.78417,12.40121,12.40121,12.40121,15.37425,15.37425,15.37425,13.77099,13.77099,13.77099,12.78417,12.78417,12.78417,0.7916445,stand
-8.259794,-8.259794,-8.259794,-13.34036,-13.34036,-13.34036,-10.18435,-10.18435,-10.18435,-5.262354,-5.262354,-5.262354,-10.25513,-10.25513,-10.25513,34.95605,34.95605,34.95605,40.99974,40.99974,40.99974,43.18579,43.18579,43.18579,40.21583,40.21583,40.21583,45.73006,45.73006,45.73006,23.35646,23.35646,23.35646,20.27438,20.27438,20.27438,6.748322,6.748322,6.748322,12.42804,12.42804,12.42804,17.23715,17.23715,17.23715,-0.4898586,-0.4898586,-0.4898586,-6.57537,-6.57537,-6.57537,-8.120488,-8.120488,-8.120488,-11.2715,-11.2715,-11.2715,24.50649,24.50649,24.50649,31.43161,31.43161,31.43161,38.75212,38.75212,38.75212,38.08434,38.08434,38.08434,12.60065,12.60065,12.60065,12.30449,12.30449,12.30449,15.19847,15.19847,15.19847,13.34813,13.34813,13.34813,12.60065,12.60065,12.60065,0.7914904,stand
-8.442303,-8.442303,-8.442303,-13.57783,-13.57783,-13.57783,-10.73231,-10.73231,-10.73231,-5.963698,-5.963698,-5.963698,-11.12608,-11.12608,-11.12608,34.63804,34.63804,34.63804,40.92067,40.92067,40.92067,43.07986,43.07986,43.07986,40.01474,40.01474,40.01474,45.34212,45.34212,45.34212,23.21284,23.21284,23.21284,20.14218,20.14218,20.14218,6.706831,6.706831,6.706831,12.2382,12.2382,12.2382,16.84368,16.84368,16.84368,-0.05510378,-0.05510378,-0.05510378,-6.835718,-6.835718,-6.835718,-7.942374,-7.942374,-7.942374,-11.31925,-11.31925,-11.31925,24.65077,24.65077,24.65077,31.30285,31.30285,31.30285,39.02553,39.02553,39.02553,38.37539,38.37539,38.37539,12.65252,12.65252,12.65252,12.47518,12.47518,12.47518,15.14624,15.14624,15.14624,13.09787,13.09787,13.09787,12.65252,12.65252,12.65252,0.799681,stand
-8.67487,-8.67487,-8.67487,-13.99264,-13.99264,-13.99264,-11.14183,-11.14183,-11.14183,-6.456647,-6.456647,-6.456647,-11.71131,-11.71131,-11.71131,34.33861,34.33861,34.33861,40.34061,40.34061,40.34061,42.5837,42.5837,42.5837,39.6153,39.6153,39.6153,44.83977,44.83977,44.83977,23.09103,23.09103,23.09103,19.8279,19.8279,19.8279,6.62784,6.62784,6.62784,11.93994,11.93994,11.93994,16.11781,16.11781,16.11781,-0.04850912,-0.04850912,-0.04850912,-7.058857,-7.058857,-7.058857,-7.79093,-7.79093,-7.79093,-11.48828,-11.48828,-11.48828,24.64236,24.64236,24.64236,31.94653,31.94653,31.94653,38.99701,38.99701,38.99701,38.41692,38.41692,38.41692,12.41909,12.41909,12.41909,12.35801,12.35801,12.35801,15.08803,15.08803,15.08803,12.83187,12.83187,12.83187,12.41909,12.41909,12.41909,0.7982761,stand
-8.860658,-8.860658,-8.860658,-14.62795,-14.62795,-14.62795,-11.61364,-11.61364,-11.61364,-6.885107,-6.885107,-6.885107,-12.3351,-12.3351,-12.3351,33.89769,33.89769,33.89769,40.11266,40.11266,40.11266,42.48109,42.48109,42.48109,39.56017,39.56017,39.56017,44.70547,44.70547,44.70547,22.87471,22.87471,22.87471,19.52301,19.52301,19.52301,6.54141,6.54141,6.54141,11.72393,11.72393,11.72393,15.51337,15.51337,15.51337,-0.3762367,-0.3762367,-0.3762367,-7.133695,-7.133695,-7.133695,-7.651793,-7.651793,-7.651793,-11.42493,-11.42493,-11.42493,24.31592,24.31592,24.31592,31.98868,31.98868,31.98868,38.92638,38.92638,38.92638,38.32458,38.32458,38.32458,12.14996,12.14996,12.14996,12.0599,12.0599,12.0599,14.97617,14.97617,14.97617,12.51852,12.51852,12.51852,12.14996,12.14996,12.14996,0.8079132,stand
-8.994082,-8.994082,-8.994082,-14.94154,-14.94154,-14.94154,-11.85209,-11.85209,-11.85209,-7.110426,-7.110426,-7.110426,-12.64856,-12.64856,-12.64856,33.76743,33.76743,33.76743,39.97358,39.97358,39.97358,42.42648,42.42648,42.42648,39.53806,39.53806,39.53806,44.62506,44.62506,44.62506,22.7831,22.7831,22.7831,19.3426,19.3426,19.3426,6.490035,6.490035,6.490035,11.57485,11.57485,11.57485,15.15769,15.15769,15.15769,-0.56243,-0.56243,-0.56243,-7.167895,-7.167895,-7.167895,-7.592971,-7.592971,-7.592971,-11.38341,-11.38341,-11.38341,24.16453,24.16453,24.16453,32.03539,32.03539,32.03539,38.8843,38.8843,38.8843,38.2716,38.2716,38.2716,12.01467,12.01467,12.01467,11.90786,11.90786,11.90786,14.9224,14.9224,14.9224,12.38667,12.38667,12.38667,12.01467,12.01467,12.01467,0.8073305,stand
-9.090382,-9.090382,-9.090382,-15.09685,-15.09685,-15.09685,-11.96862,-11.96862,-11.96862,-7.223337,-7.223337,-7.223337,-12.79929,-12.79929,-12.79929,33.72176,33.72176,33.72176,39.89586,39.89586,39.89586,42.39424,42.39424,42.39424,39.51306,39.51306,39.51306,44.5732,44.5732,44.5732,22.73427,22.73427,22.73427,19.25363,19.25363,19.25363,6.444415,6.444415,6.444415,11.48621,11.48621,11.48621,14.98693,14.98693,14.98693,-0.6736105,-0.6736105,-0.6736105,-7.175192,-7.175192,-7.175192,-7.573778,-7.573778,-7.573778,-11.34426,-11.34426,-11.34426,24.08775,24.08775,24.08775,32.05427,32.05427,32.05427,38.86498,38.86498,38.86498,38.24352,38.24352,38.24352,11.93836,11.93836,11.93836,11.82272,11.82272,11.82272,14.8833,14.8833,14.8833,12.31569,12.31569,12.31569,11.93836,11.93836,11.93836,0.8067546,stand
